Parcel PIN,Unit Type,GIS Loud ID,Permit Year Issued,Planning Subarea,Project Subdivision,Town,Election District,Housing Units,POINT_X_SP,POINT_Y_SP
059391546000,SFA,243028,4/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779156.71,7062466.975
059391727000,SFA,243096,8/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779179.82,7062271.574
059391945000,SFA,243024,4/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779194.36,7062451.753
059392026000,SFA,243002,9/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779209.78,7062260.337
059392243000,SFA,243022,4/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779223.88,7062439.386
059392424000,SFA,243098,8/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779247.69,7062245.503
059392642000,SFA,243018,4/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779260.84,7062423.35
059392923000,SFA,243000,4/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779293.85,7062232.868
059392974000,SFD,243134,9/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779294.54,7062741.375
059393040000,SFA,243016,4/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779306.82,7062407.944
059393322000,SFA,243100,4/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779331.71,7062222.973
059393439000,SFA,243014,4/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779345.63,7062397.571
059393621000,SFA,242998,4/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779368.85,7062212.824
059393838000,SFA,243012,4/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779383.71,7062387.073
